,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
14377,17-08-2019,Sangtam//1//COTTON/ASSORTEDHN029,40x40,JAIPUR MODERN ASSO,ASSORTED,HEIRLOOM TRIBAL,Sangtam//1,2,HOME,BEDROOM,CUSHION,40x40
14378,17-08-2019,Sangtam//2//COTTON/ASSORTEDHN030,40x40,JAIPUR MODERN ASSO,ASSORTED,HEIRLOOM TRIBAL,Sangtam//2,4,HOME,BEDROOM,CUSHION,40x40
14379,17-08-2019,TOYA//GOLD/GOLD/CJ19188,FS,DIANE SINGH,GOLD,SEA WONDERS,TOYA,1,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
14380,17-08-2019,SIDE/EDGING/LEATHER/BLACK/PINK/701769,FS,JAIPUR MODERN,BLACK PINK,DUAL POCKET EDGING,SIDE/EDGING,1,LUGGAGE,ACCESSORIES,CARD HOLDER,FREE SIZE
14381,18-08-2019,KASHMIR/METAL/NA/AZ103,FS,AZGA,NATURAL,NECK CHAIN 1,KASHMIR,1,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
14382,18-08-2019,MULTIVITAMIN//NA/NATURAL/VC003,FS,VAUNT,NATURAL,HYDRATOR,MULTIVITAMIN,1,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
14383,18-08-2019,ST401//BRASS/SILK/METALLIC/BRASS/AKH167,FS,AKIHI,METALLIC BRASS,HAND EMBROIDERED,ST401,1,JEWELLERY,ACCESSORIES,EARRINGS,FREE SIZE
14384,18-08-2019,A5/SOLID/COLOURS//PAPER/MULTI/GWK006,FS,GOODWORK,MULTI,NOTEBOOK,A5/SOLID/COLOURS,2,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14385,18-08-2019,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14386,19-08-2019,CANDY/DOUBLE//GOLD/TOURMALINE/GOLD/TOURMALINE/CJ19085,FS,DIANE SINGH,GOLD TOURMALINE,TIMELESS BEAUTY,CANDY/DOUBLE,1,JEWELLERY,ACCESSORIES,RINGS,FREE SIZE
14387,20-08-2019,Muslin-20///50%/Silk/&/50%/Cotton///Blue//26049501,M,INJIRI,BLUE,50% Silk & 50% Cotton,Muslin-20,1,FASHION,CLOTHS,DRESS,MEDIUM
