,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
13307,2019-04-24,CHIRCHIRI/HONEY//COSMETICS/NATURALPL013,FS,PAHADI LOCAL,NATURAL,INDIAN BORAG HONEY,CHIRCHIRI/HONEY,1.0,WELLNESS,KITCHEN,HONEY,FREE SIZE
13308,2019-04-24,LP05//BRASS/SILK/METALLIC/BRASSAKH162,FS,AKIHI,METALLIC BRASS,HAND EMBROIDERED,LP05,1.0,JEWELLERY,ACCESSORIES,LAPEL PIN,FREE SIZE
13309,2019-04-24,LGCF26//BRASS/SILK/METALLIC/BRASSAKH166,FS,AKIHI,METALLIC BRASS,HAND EMBROIDERED,LGCF26,1.0,JEWELLERY,ACCESSORIES,LAPEL PIN,FREE SIZE
13310,2019-04-24,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,4.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13311,2019-04-24,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13312,2019-04-24,PARFU/DE/MATIN/ATTAR/NATURAL/JF015,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,PARFU/DE/MATIN,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13313,2019-04-24,PULL//COSMETICS/NATURALPL007,FS,PAHADI LOCAL,NATURAL,PULL,PULL,1.0,WELLNESS,COSMETICS,COSM SALT 18,FREE SIZE
13314,2019-04-24,MULTIVITAMIN//NA/NATURAL/VC003,FS,VAUNT,NATURAL,HYDRATOR,MULTIVITAMIN,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13315,2019-04-24,BRAZIL/NUT//NA/NATURAL/VC004,FS,VAUNT,NATURAL,FACE OIL,BRAZIL/NUT,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13316,2019-04-24,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13317,2019-04-24,BIG/HOOPS/WITH/PEARL//BRASS/GOLDENSPL026,FS,SHOPLUNE,GOLDEN,BRASS,BIG/HOOPS/WITH/PEARL,1.0,JEWELLERY,ACCESSORIES,EARRINGS,FREE SIZE
13318,2019-04-24,kos21//100%/COTTON/BEIGEKOS1940,L,KOS,BEIGE,STRIPE PANEL,kos21,1.0,FASHION,CLOTHS,SHIRT,LARGE
13319,2019-04-25,KEIDN/KC4T/1/S//100%/COTTON/INDIGO11011885,S,11.11,INDIGO,10747,KEIDN/KC4T/1/S,1.0,FASHION,CLOTHS,SHIRT,SMALL
13320,2019-04-25,ROSE/ATTAR/NATURAL/JF009,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ROSE,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13321,2019-04-25,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13322,2019-04-25,G1814//100%/COTTON/NATURALMK055,M,MAKU,NATURAL,DENISE_IC,G1814,1.0,FASHION,CLOTHS,BOTTOMS,MEDIUM
13323,2019-04-25,CLAMP/DYED/100%/COTTON///ORANGE/7000783,7 INCH 200 PAGES,JAIPUR MODERN,orange,STEPS CLAMP,CLAMP/DYED,1.0,STATIONARY,STATIONARY,NOTEBOOK,7 INCH 200 PAGES
13324,2019-04-25,MWAD101805I//COTTON/INDIGOTATH013,M,TATH,INDIGO,Deco phool,MWAD101805I,1.0,FASHION,CLOTHS,SHIRT,MEDIUM
13325,2019-04-25,MASALA/POPS/50//QUINOA/MASALAAHF001,FS,OFC,MASALA,ORGANIC,MASALA/POPS/50,1.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13326,2019-04-25,WASABI/POPS/50//QUINOA/WASABIAHF003,FS,OFC,WASABI,ORGANIC,WASABI/POPS/50,1.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13327,2019-04-25,CHILI/LIME/POPS/50//QUINOA/CHILI/LIMEAHF002,FS,OFC,CHILI LIME,ORGANIC,CHILI/LIME/POPS/50,2.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13328,2019-04-25,SRIN/KC4T/BI/6/S//100%/COTTON/OFFWHITE11012045,S,11.11,OFFWHITE,13038,SRIN/KC4T/BI/6/S,1.0,FASHION,CLOTHS,SHIRT,SMALL
13329,2019-04-25,ZEPHYR/ATTAR/NATURAL/JF012,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ZEPHYR,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13330,2019-04-26,MASALA/POPS/50//QUINOA/MASALAAHF001,FS,OFC,MASALA,ORGANIC,MASALA/POPS/50,2.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
